Server ID,Sponsor,Server Name,Timestamp,Distance,Ping,Download,Upload
10602,Aspire Technology Solutions,Gateshead,2018-04-01T18:42:03.020515,50.827748319535935,48.377,5888372.207699933,5121314.07355131
16353,ITPS Ltd,Newcastle Upon Tyne,2018-04-01T19:42:03.281360,53.14759360118696,52.077,4786727.871080564,4315347.461461088
4068,Bytemark Hosting,York,2018-04-01T20:42:03.728437,68.53899096027538,44.386,5042935.898849588,5660478.948113084
4068,Bytemark Hosting,York,2018-04-01T21:42:03.634383,68.53899096027538,33.35,5063279.91078721,4984996.479794627
10580,aql,Leeds,2018-04-01T22:42:03.429437,88.48071748118944,37.735,6241622.350950169,6002154.013019033
10580,aql,Leeds,2018-04-01T23:42:02.962823,88.48071748118944,39.585,5607967.20456053,5817810.400831455
10602,Aspire Technology Solutions,Gateshead,2018-04-02T00:42:02.848820,50.827748319535935,34.956,8094413.51305307,6028366.359342347
16379,HostYourNet,Middlesbrough,2018-04-02T01:42:03.340592,4.656256850288883,38.219,3681207.262514314,5937032.721812796
4068,Bytemark Hosting,York,2018-04-02T02:42:03.589503,68.53899096027538,40.908,6680326.92046433,5862444.074005917
4068,Bytemark Hosting,York,2018-04-02T03:42:03.031497,68.53899096027538,30.984,7221327.099710551,5979747.847107784
10580,aql,Leeds,2018-04-02T04:42:03.522014,88.48071748118944,31.602,5785846.460415491,6141417.114163214
10580,aql,Leeds,2018-04-02T05:42:03.748546,88.48071748118944,34.417,6632933.42475018,4933485.403456502
4068,Bytemark Hosting,York,2018-04-02T06:42:03.142526,68.53899096027538,33.635,5637203.901050201,4280307.831792082
4068,Bytemark Hosting,York,2018-04-02T07:42:03.145288,68.53899096027538,34.544,4133231.1618517344,5966578.114007629
10602,Aspire Technology Solutions,Gateshead,2018-04-02T08:42:03.887620,50.827748319535935,48.754,3509687.474194734,5854999.084645186
4068,Bytemark Hosting,York,2018-04-02T09:42:03.663628,68.53899096027538,44.778,3369487.6741519305,5969484.386278694
16379,HostYourNet,Middlesbrough,2018-04-02T10:42:03.715994,4.656256850288883,37.469,3338538.696524284,6120513.475709635
16379,HostYourNet,Middlesbrough,2018-04-02T11:42:03.528349,4.656256850288883,32.275,5065380.490224013,5907179.355399427
4068,Bytemark Hosting,York,2018-04-02T12:42:03.414935,68.53899096027538,40.348,4780302.050959949,5671498.358770643
10602,Aspire Technology Solutions,Gateshead,2018-04-02T13:42:03.177782,50.827748319535935,49.43,4794983.713647585,5908428.162433628
10580,aql,Leeds,2018-04-02T14:42:05.525697,88.48071748118944,337.106,1123660.2883206964,3730083.1197888516
16379,HostYourNet,Middlesbrough,2018-04-02T15:42:05.223270,4.656256850288883,291.586,839444.2957625369,3932787.745016685
16379,HostYourNet,Middlesbrough,2018-04-02T16:42:03.573636,4.656256850288883,37.875,3017866.58524711,5830655.481187873
4068,Bytemark Hosting,York,2018-04-02T17:42:03.413606,68.53899096027538,34.0,5419931.751937304,6070027.158480276
10580,aql,Leeds,2018-04-02T18:42:03.269407,88.48071748118944,47.064,4586495.775520893,4886421.717360897
4068,Bytemark Hosting,York,2018-04-02T19:42:03.601666,68.53899096027538,38.512,4416208.055599072,5931807.12921914
10580,aql,Leeds,2018-04-02T20:42:02.986103,88.48071748118944,47.836,2029945.6552578628,4290451.159344152
4068,Bytemark Hosting,York,2018-04-02T21:42:03.213409,68.53899096027538,54.214,3636593.9081559945,5946548.379126955
10602,Aspire Technology Solutions,Gateshead,2018-04-02T22:42:03.731628,50.827748319535935,49.034,5467493.934535718,5896319.612024828
4068,Bytemark Hosting,York,2018-04-02T23:42:02.872422,68.53899096027538,28.118,6533514.317967306,4778712.067557765
4068,Bytemark Hosting,York,2018-04-03T00:42:02.828777,68.53899096027538,28.372,5939674.670638334,6057600.963119887
10580,aql,Leeds,2018-04-03T01:42:03.477490,88.48071748118944,31.148,5230561.017898547,6100168.643141433
4068,Bytemark Hosting,York,2018-04-03T02:42:03.076717,68.53899096027538,30.091,6719421.4719022075,5941690.46350423
10602,Aspire Technology Solutions,Gateshead,2018-04-03T03:42:03.695210,50.827748319535935,35.675,8130018.49817407,5798625.464048183
4068,Bytemark Hosting,York,2018-04-03T04:42:03.658521,68.53899096027538,26.846,7346251.774818018,4218789.910159914
4068,Bytemark Hosting,York,2018-04-03T05:42:03.144409,68.53899096027538,26.67,6734778.177763729,5906269.543782571
10580,aql,Leeds,2018-04-03T06:42:02.845701,88.48071748118944,33.753,5672054.1256784,5956031.960643233
4068,Bytemark Hosting,York,2018-04-03T07:42:02.859395,68.53899096027538,36.674,7422210.486214969,5877510.920781894
10580,aql,Leeds,2018-04-03T08:42:03.716206,88.48071748118944,31.34,4292653.652892386,4438173.209182338
10580,aql,Leeds,2018-04-03T09:42:03.200082,88.48071748118944,39.149,5278478.665140815,5864277.286062614
4068,Bytemark Hosting,York,2018-04-03T10:42:03.351573,68.53899096027538,37.74,5116634.941217247,5535618.139050576
10602,Aspire Technology Solutions,Gateshead,2018-04-03T11:42:03.726130,50.827748319535935,33.277,5868015.348669266,5920126.0671874685
4068,Bytemark Hosting,York,2018-04-03T12:42:03.233475,68.53899096027538,30.012,3956062.553475194,4607922.755694792
10580,aql,Leeds,2018-04-03T13:42:03.975230,88.48071748118944,35.868,7307771.913538397,4716177.308524762
4068,Bytemark Hosting,York,2018-04-03T14:42:03.520686,68.53899096027538,40.516,6364967.230517785,5704414.258764553
4068,Bytemark Hosting,York,2018-04-03T15:42:03.870750,68.53899096027538,41.464,4725144.261836458,5467947.756230605
4068,Bytemark Hosting,York,2018-04-03T16:42:03.297380,68.53899096027538,29.464,5936828.394061658,6063969.222369898
10580,aql,Leeds,2018-04-03T17:42:02.995326,88.48071748118944,35.486,5841829.084106086,5961025.91922541
4068,Bytemark Hosting,York,2018-04-03T18:42:03.845850,68.53899096027538,48.241,4018878.762138067,6003611.41552706
10580,aql,Leeds,2018-04-03T19:42:03.302863,88.48071748118944,40.459,5288097.691717317,4550667.140251184
4068,Bytemark Hosting,York,2018-04-03T20:42:03.094998,68.53899096027538,41.182,4499046.9526841305,6030990.605622883
4068,Bytemark Hosting,York,2018-04-03T21:42:03.175976,68.53899096027538,35.512,3785809.482503632,6057814.073509904
4068,Bytemark Hosting,York,2018-04-03T22:42:03.149005,68.53899096027538,32.922,6228283.107723424,4837143.985568951
16379,HostYourNet,Middlesbrough,2018-04-03T23:42:03.566002,4.656256850288883,34.947,5026276.243889542,5800781.651514348
10580,aql,Leeds,2018-04-04T00:42:03.241838,88.48071748118944,29.164,7662078.952150509,5884321.259450486
4068,Bytemark Hosting,York,2018-04-04T01:42:03.907353,68.53899096027538,29.654,7249604.374119976,5813358.222752218
4068,Bytemark Hosting,York,2018-04-04T02:42:03.263809,68.53899096027538,27.15,7253241.630614539,5951501.95437214
4068,Bytemark Hosting,York,2018-04-04T03:42:03.239756,68.53899096027538,36.697,4600095.54167266,6121432.539400232
4068,Bytemark Hosting,York,2018-04-04T04:42:03.168071,68.53899096027538,33.956,3990768.3169402624,4342434.308100018
4068,Bytemark Hosting,York,2018-04-04T05:42:03.459527,68.53899096027538,29.237,5840410.769980218,5951092.231856066
4068,Bytemark Hosting,York,2018-04-04T06:42:02.976634,68.53899096027538,29.987,7332364.880311879,6030960.173626577
10580,aql,Leeds,2018-04-04T07:42:02.867383,88.48071748118944,40.747,5621356.739661433,5938075.728045578
4068,Bytemark Hosting,York,2018-04-04T08:42:03.273495,68.53899096027538,30.978,5779060.632796959,5885946.171893589
4068,Bytemark Hosting,York,2018-04-04T09:42:03.433642,68.53899096027538,41.26,5396090.576895654,5919143.8826880185
10580,aql,Leeds,2018-04-04T10:42:03.296998,88.48071748118944,48.166,3614307.773598725,5992896.180955541
10602,Aspire Technology Solutions,Gateshead,2018-04-04T11:42:03.335395,50.827748319535935,45.766,6313268.819991694,5928708.949649481
10602,Aspire Technology Solutions,Gateshead,2018-04-04T12:42:03.139656,50.827748319535935,44.441,3871141.7627831562,5854057.829547381
4068,Bytemark Hosting,York,2018-04-04T13:42:03.746355,68.53899096027538,38.5,3682957.981756702,5756110.455222866
16379,HostYourNet,Middlesbrough,2018-04-04T14:42:03.157343,4.656256850288883,38.472,2956090.9709799425,5687278.3912254
4068,Bytemark Hosting,York,2018-04-04T15:42:03.088481,68.53899096027538,31.617,5858286.888046225,6005284.167360105
10602,Aspire Technology Solutions,Gateshead,2018-04-04T16:42:03.463019,50.827748319535935,33.996,5847486.643676154,5808547.521741781
4068,Bytemark Hosting,York,2018-04-04T17:42:02.875989,68.53899096027538,43.435,4210749.45765159,5888388.823091971
